node_1,node_2,edge,chunk_id
Production Line Assets,Predictive Maintenance,canBeMaintainedBy,14
Precision Machine Tools,Equipment,classifiedAs,14
Precision Machine Tools,cannot be easily disassembled,hasProperty,14
Precision Machine Tools,Predictive Maintenance,canBeMaintainedBy,14
Technicians,Component,classifiedAs,14
Technicians,highly skilled,hasProperty,14
Technicians,Predictive Maintenance,appliesTo,14
Failure,Failure,classifiedAs,14
Failure,Equipment deterioration,isInfluencedBy,14
Statistical Analysis,DiagnosticTechnique,classifiedAs,14
Statistical Analysis,Equipment degradation assessment,appliesTo,14
Reliability Maintenance,English technical document,isSubsectionOf,15
Reliability Maintenance,Reliability-Centered Maintenance,contains,15
Reliability-Centered Maintenance,MaintenanceMethod,classifiedAs,15
Reliability-Centered Maintenance,proactive,hasProperty,15
Reliability-Centered Maintenance,Equipment,appliesTo,15
Reliability-Centered Maintenance,reliability theory,isInfluencedBy,15
Failure,potential,hasProperty,15
Failure,functional,hasProperty,15
Equipment,operational reliability,hasProperty,15
Quality Maintenance,English technical document,isSubsectionOf,15
Quality Maintenance,Total Quality Management,contains,15
Quality Maintenance,MaintenanceMethod,classifiedAs,15
Quality Maintenance,Equipment,appliesTo,15
Quality Maintenance,people,isInfluencedBy,15
Quality Maintenance,machines,isInfluencedBy,15
Quality Maintenance,materials,isInfluencedBy,15
Total Quality Management,MaintenanceMethod,classifiedAs,15
Pareto charts,DiagnosticTechnique,classifiedAs,15
PM analysis,DiagnosticTechnique,classifiedAs,15
PM analysis,Process-Machine Phenomenon Analysis,hasProperty,15
Improve Maintenance,5. Improve Maintenance,isSubsectionOf,16
Improve Maintenance,Mechanical and Electrical Equipment,contains,16
Improve Maintenance,Corrective Maintenance,contains,16
Improve Maintenance,Major Overhaul,contains,16
Improve Maintenance,Targeted Repair,contains,16
Mechanical and Electrical Equipment,Weak Links,hasProperty,16
Corrective Maintenance,MaintenanceMethod,classifiedAs,16
Corrective Maintenance,Mechanical and Electrical Equipment,appliesTo,16
Corrective Maintenance,Integrated Approach,hasProperty,16
Major Overhaul,MaintenanceMethod,classifiedAs,16
Targeted Repair,MaintenanceMethod,classifiedAs,16
Maintenance-Free Design,Fundamentals of Fault Diagnosis and Maintenance for Mechanical and Electrical Equipment,isSubsectionOf,17
Maintenance Method Selection,Fundamentals of Fault Diagnosis and Maintenance for Mechanical and Electrical Equipment,isSubsectionOf,17
Maintenance System,Fundamentals of Fault Diagnosis and Maintenance for Mechanical and Electrical Equipment,isSubsectionOf,17
Planned Preventive Maintenance System,Maintenance System,isSubsectionOf,17
Maintenance-Free Design,Equipment,contains,17
Maintenance-Free Design,Failure,contains,17
Maintenance Method Selection,Reliability,contains,17
Maintenance Method Selection,Condition-Based Monitoring,contains,17
Maintenance Method Selection,Quality Repair,contains,17
Maintenance System,Planned Preventive Maintenance System,contains,17
Planned Preventive Maintenance System,Wear,contains,17
Planned Preventive Maintenance System,Failure,contains,17
Equipment,Maintenance-Free Design,canBeMaintainedBy,17
Equipment,Planned Preventive Maintenance System,canBeMaintainedBy,17
Failure,Maintenance-Free Design,canBeMaintainedBy,17
Failure,Planned Preventive Maintenance System,canBeMaintainedBy,17
Component,Equipment,isPartOf,17
Condition-Based Monitoring,Component,appliesTo,17
Quality Repair,Equipment,appliesTo,17
Wear,Failure,causes,17
Planned Preventive Maintenance System,MaintenanceMethod,classifiedAs,17
Condition-Based Monitoring,DiagnosticTechnique,classifiedAs,17
Quality Repair,MaintenanceMethod,classifiedAs,17
Maintenance-Free Design,MaintenanceMethod,classifiedAs,17
Maintenance-Free Design,"description: implementing improvement measures during the design phase of new machinery and electrical equipment to address common failures encountered during maintenance, aiming to minimize maintenance efforts or even eliminate the need for repairs altogether",hasProperty,17
Planned Preventive Maintenance System,"description: based on a thorough understanding of the wear and failure patterns of mechanical and electrical equipment, applying the principle of prevention being better than cure—and addressing potential issues before they escalate—by systematically organizing maintenance and repairs according to the rate of wear and expected service life of each component",hasProperty,17
Planned Preventive Maintenance System,poor cost-effectiveness,hasProperty,19
Planned Preventive Maintenance System,Over-maintenance,causes,19
Overhaul,Maintenance Levels and Types,isSubsectionOf,19
Overhaul,Major Repair,classifiedAs,19
Overhaul,Mechanical and Electrical Equipment,appliesTo,19
Overhaul,Specialized Maintenance Teams,canBeMaintainedBy,19
Intermediate Overhaul,Maintenance Levels and Types,isSubsectionOf,19
Intermediate Overhaul,Mid-level Repair,classifiedAs,19
Minor Repair,Maintenance Levels and Types,isSubsectionOf,19
Minor Repair,Minor Repair,classifiedAs,19
Item-based Maintenance,Maintenance Levels and Types,isSubsectionOf,19
Item-based Maintenance,Non-periodic Planned Maintenance,classifiedAs,19
Item-based Maintenance,Condition Monitoring,isInfluencedBy,19
Retrofitting,Maintenance Levels and Types,isSubsectionOf,19
Retrofitting,Improvement-oriented Repair,classifiedAs,19
Retrofitting,Mechanical and Electrical Equipment,appliesTo,19
Retrofitting,New Technologies,isInfluencedBy,19
Retrofitting,New Materials,isInfluencedBy,19
Retrofitting,New Structures,isInfluencedBy,19
Retrofitting,New Processes,isInfluencedBy,19
Unscheduled Maintenance,Maintenance Levels and Types,isSubsectionOf,19
Unscheduled Maintenance,Emergency Repair,classifiedAs,19
Unscheduled Maintenance,Sudden Breakdowns,causes,19
Unscheduled Maintenance,Accidents,causes,19
Mechanical and Electrical Equipment,Industrial Facilities,isPartOf,19
Specialized Maintenance Teams,Factories and Mines,isPartOf,19
Repair Centers,Industrial Regions,isPartOf,19
Over-maintenance,Unnecessary Repairs,causes,19
Condition Monitoring,Mechanical and Electrical Equipment,appliesTo,19
Condition-Based Maintenance System,MaintenanceMethod,classifiedAs,20
Condition-Based Maintenance System,"based on reliability theory, condition monitoring, and fault diagnosis",hasProperty,20
Condition-Based Maintenance System,mechanical and electrical equipment,appliesTo,20
Condition-Based Maintenance System,robust reliability testing data,isInfluencedBy,20
Condition-Based Maintenance System,comprehensive documentation,isInfluencedBy,20
early failure,FailureMode,classifiedAs,20
occasional failure,FailureMode,classifiedAs,20
wear-out phase,FailureMode,classifiedAs,20
complex mechanical and electrical systems,Equipment,classifiedAs,20
modern mechanical and electrical systems,Equipment,classifiedAs,20
component,Component,classifiedAs,20
safety risk,Failure,classifiedAs,20
functional failure,Failure,classifiedAs,20
"regular, scheduled maintenance",MaintenanceMethod,classifiedAs,20
planned preventive maintenance,MaintenanceMethod,classifiedAs,20
inspection,DiagnosticTechnique,classifiedAs,20
daily inspection,DiagnosticTechnique,classifiedAs,20
periodic inspection,DiagnosticTechnique,classifiedAs,20
precision inspection,DiagnosticTechnique,classifiedAs,20
condition monitoring,DiagnosticTechnique,classifiedAs,20
fault diagnosis,DiagnosticTechnique,classifiedAs,20
Comprehensive Guide to Fault Diagnosis and Repair Cases,Section,classifiedAs,20
Comprehensive Guide to Fault Diagnosis and Repair Cases,Condition-Based Maintenance System,contains,20
Targeted Maintenance System,Operation and Maintenance System,isSubsectionOf,21
Targeted Maintenance System,Condition-based inspection system,contains,21
Targeted Maintenance System,Predictive maintenance,contains,21
Targeted Maintenance System,Preventive maintenance,contains,21
Targeted Maintenance System,Corrective maintenance,contains,21
Targeted Maintenance System,State monitoring,contains,21
Targeted Maintenance System,Fault diagnosis,contains,21
Targeted Maintenance System,Mechanical and electrical equipment,appliesTo,21
Predictive maintenance,Targeted Maintenance System,isPartOf,21
Preventive maintenance,Targeted Maintenance System,isPartOf,21
Corrective maintenance,Targeted Maintenance System,isPartOf,21
Condition-based inspection system,Targeted Maintenance System,isPartOf,21
State monitoring,DiagnosticTechnique,classifiedAs,21
Fault diagnosis,DiagnosticTechnique,classifiedAs,21
Mechanical and electrical equipment,Equipment,classifiedAs,21
Mechanical and electrical equipment,Targeted Maintenance System,canBeMaintainedBy,21
Periodic inspection system,Targeted Maintenance System,isPartOf,21
Planned preventive maintenance,Targeted Maintenance System,isPartOf,21
Maintenance and inspection standards,Targeted Maintenance System,isPartOf,21
Computer-aided dynamic management,Targeted Maintenance System,isPartOf,21
Operation and Maintenance System,Section,classifiedAs,21
Operation and Maintenance System,Operator-specific machine assignments,contains,21
Operation and Maintenance System,Cleanliness,contains,21
Operation and Maintenance System,Lubrication,contains,21
Operation and Maintenance System,Safety operating procedures,contains,21
Operation and Maintenance System,Shift handover system,contains,21
Operation and Maintenance System,Tools and accessories management,contains,21
Cleanliness,MaintenanceMethod,classifiedAs,21
Lubrication,MaintenanceMethod,classifiedAs,21
Safety,MaintenanceMethod,classifiedAs,21
Use of Mechanical and Electrical Equipment During operation,Fundamentals of Mechanical and Electrical Equipment Fault Diagnosis and Maintenance,isSubsectionOf,22
Use of Mechanical and Electrical Equipment During operation,Equipment,contains,22
Use of Mechanical and Electrical Equipment During operation,EnvironmentalFactor,contains,22
Use of Mechanical and Electrical Equipment During operation,MaintenanceMethod,contains,22
Equipment,technical condition,hasProperty,22
Equipment,performance,hasProperty,22
Equipment,EnvironmentalFactor,isInfluencedBy,22
EnvironmentalFactor,environmental conditions,classifiedAs,22
EnvironmentalFactor,usage methods,classifiedAs,22
EnvironmentalFactor,operational guidelines,classifiedAs,22
EnvironmentalFactor,duration of use,classifiedAs,22
MaintenanceMethod,daily maintenance,classifiedAs,22
MaintenanceMethod,periodic maintenance,classifiedAs,22
daily maintenance,Mechanical and electrical equipment,appliesTo,22
periodic maintenance,Mechanical and electrical equipment,appliesTo,22
periodic maintenance,Level 1 care,classifiedAs,22
long-term storage,FailureMode,classifiedAs,26
long-term storage,description,hasProperty,26
description,long-term storage,appliesTo,26
equipment,Equipment,classifiedAs,26
machine spindle,Component,classifiedAs,26
clutches,Component,classifiedAs,26
gears,Component,classifiedAs,26
electronic components,Component,classifiedAs,26
battery,Component,classifiedAs,26
frequent starts and stops,FailureMode,classifiedAs,26
frequent starts and stops,wear,causes,26
moisture buildup,EnvironmentalFactor,classifiedAs,26
moisture buildup,damage to electronic components,causes,26
humidity,EnvironmentalFactor,classifiedAs,26
regular power-on maintenance,MaintenanceMethod,classifiedAs,26
regular power-on maintenance,equipment,appliesTo,26
regular power-on maintenance,frequency,hasProperty,26
frequency,regular power-on maintenance,appliesTo,26
no-load operation,MaintenanceMethod,classifiedAs,26
battery low-level alarm detection,DiagnosticTechnique,classifiedAs,26
Not suitable for long-term storage,Section,classifiedAs,26
Not suitable for long-term storage,long-term storage,contains,26
Not suitable for long-term storage,equipment,contains,26
Not suitable for long-term storage,machine spindle,contains,26
Not suitable for long-term storage,clutches,contains,26
Not suitable for long-term storage,gears,contains,26
Not suitable for long-term storage,electronic components,contains,26
Not suitable for long-term storage,battery,contains,26
Not suitable for long-term storage,frequent starts and stops,contains,26
Not suitable for long-term storage,moisture buildup,contains,26
Not suitable for long-term storage,humidity,contains,26
Not suitable for long-term storage,regular power-on maintenance,contains,26
Not suitable for long-term storage,no-load operation,contains,26
Not suitable for long-term storage,battery low-level alarm detection,contains,26
Operating Procedures,"Develop effective operating procedures, establish a sound equipment usage accountability system, and strictly adhere to them during operation",isSubsectionOf,27
